sku_id,week_start,product_name,category,forecast_weekly_demand,on_hand_units,on_order_units,available_inventory,inventory_coverage_weeks,safety_level,projected_inventory,excess_inventory_units,excess_inventory_ratio,risk_score,risk_level,markdown_clear_score,markdown_clear_priority,markdown_clear_reason,markdown_discount_percent,final_inventory_decision
199,2025-12-29,Conference Chair 99,Electronics,116.5887759216912,224.0,98.0,322.0,2.7618439035355915,29.0,88.82244815661761,59.82244815661761,22.82,20.86,LOW,27.52,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
152,2025-12-29,Wall Clock 52,Stationery,104.99480362602812,192.0,78.0,270.0,2.571555835864883,20.0,60.01039274794377,40.01039274794377,17.4,21.74,LOW,25.27,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
293,2025-12-29,Whiteboard 193,Furniture,112.6958055413026,197.0,94.0,291.0,2.58217241185032,29.0,65.60838891739479,36.60838891739479,14.39,21.69,LOW,24.4,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
240,2025-12-29,Drawer Unit 140,Stationery,111.45506637090322,205.0,80.0,285.0,2.5570842966578944,26.0,62.08986725819355,36.08986725819355,14.5,21.81,LOW,24.35,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
231,2025-12-29,Table Lamp 131,Electronics,108.11464834754081,249.0,34.0,283.0,2.6175916429962394,33.0,66.77070330491838,33.770703304918385,13.55,21.52,LOW,24.27,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
203,2025-12-29,Desk Lamp 103,Accessories,100.03774279426551,237.0,32.0,269.0,2.6889851018851654,41.0,68.92451441146898,27.924514411468977,11.58,21.19,LOW,23.92,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
208,2025-12-29,Notebook 108,Stationery,95.98823610167031,162.0,94.0,256.0,2.6669934816683782,42.0,64.02352779665938,22.02352779665938,9.41,21.29,LOW,23.19,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
209,2025-12-29,File Cabinet 109,Storage,117.74052058890682,245.0,44.0,289.0,2.4545500440672314,27.0,53.51895882218636,26.51895882218639,10.1,22.31,LOW,22.65,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
167,2025-12-29,Mouse 67,Electronics,106.42791702477476,249.0,46.0,295.0,2.771829123850358,65.0,82.14416595045049,17.144165950450486,6.17,20.82,LOW,22.55,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
175,2025-12-29,Office Desk 75,Electronics,114.44748051888153,243.0,33.0,276.0,2.4115865089268222,24.0,47.10503896223693,23.105038962236932,9.14,22.52,LOW,22.2,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
291,2025-12-29,Table Lamp 191,Accessories,113.20130511889624,241.0,91.0,332.0,2.9328283772991637,95.0,105.59738976220751,10.597389762207513,3.3,20.12,LOW,22.16,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
244,2025-12-29,Bookshelf 144,Home Decor,120.38599171498642,230.0,93.0,323.0,2.683036418096732,66.0,82.22801657002717,16.228016570027194,5.29,21.22,LOW,22.01,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
295,2025-12-29,Office Desk 195,Electronics,120.77024769155047,243.0,47.0,290.0,2.401253665891831,32.0,48.45950461689907,16.45950461689904,6.02,22.58,LOW,21.22,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
194,2025-12-29,Printer Stand 94,Office Supplies,118.18296750021769,243.0,53.0,296.0,2.504591027463029,50.0,59.63406499956463,9.634064999564657,3.36,22.06,LOW,20.82,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
269,2025-12-29,File Cabinet 169,Furniture,114.02732849010727,216.0,66.0,282.0,2.473091352170595,45.0,53.94534301978547,8.945343019785469,3.28,22.22,LOW,20.67,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
197,2025-12-29,Laptop Stand 97,Furniture,120.72314332540155,232.0,67.0,299.0,2.4767413419153983,49.0,57.5537133491969,8.553713349196869,2.95,22.2,LOW,20.59,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
226,2025-12-29,Keyboard 126,Office Supplies,104.38435001743642,249.0,23.0,272.0,2.605754597835451,60.0,63.231299965127164,3.231299965127164,1.2,21.58,LOW,20.53,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
188,2025-12-29,Notebook 88,Home Decor,102.01474135806212,209.0,54.0,263.0,2.578058783454587,57.0,58.97051728387575,1.970517283875779,0.75,21.71,LOW,20.3,LOW,Inventory exceeds forecast demand,10,CONSIDER MARKDOWN
