date,sku_id,units_sold,unit_price,promotion
01-01-2025,118,23,850,0
01-01-2025,255,23,850,0
01-01-2025,231,20,550,0
01-01-2025,188,22,550,0
01-01-2025,187,33,450,0
01-01-2025,272,31,999,0
01-01-2025,118,35,850,1
01-01-2025,240,35,350,1
01-01-2025,141,14,999,0
01-01-2025,119,32,650,0
01-01-2025,206,35,700,1
01-01-2025,296,23,650,0
01-01-2025,248,19,700,0
01-01-2025,253,24,350,0
01-01-2025,244,21,550,0
01-01-2025,258,28,1200,0
01-01-2025,203,23,550,0
01-01-2025,126,20,1200,0
01-01-2025,268,22,999,0
01-01-2025,191,32,1500,0
01-01-2025,201,34,850,0
01-01-2025,175,41,850,1
01-01-2025,137,30,999,1
01-01-2025,286,34,650,1
01-01-2025,257,37,550,1
01-01-2025,229,27,1200,0
01-01-2025,181,20,450,0
01-01-2025,265,19,650,0
01-01-2025,210,32,250,0
01-01-2025,189,38,650,0
01-01-2025,191,22,1500,0
01-01-2025,146,29,999,1
01-01-2025,119,26,650,0
01-01-2025,211,21,1200,0
01-01-2025,278,32,450,1
01-01-2025,113,22,1200,0
01-01-2025,272,31,999,1
01-01-2025,266,25,700,0
01-01-2025,156,38,999,1
01-01-2025,227,37,450,1
01-01-2025,134,32,999,0
01-01-2025,252,20,850,0
01-01-2025,241,35,650,1
01-01-2025,171,16,700,0
01-01-2025,114,22,350,0
01-01-2025,295,18,450,0
01-01-2025,190,17,350,0
01-01-2025,279,22,650,0
01-01-2025,236,38,350,1
01-01-2025,256,26,350,0
01-01-2025,252,32,850,0
01-01-2025,139,24,250,0
01-01-2025,173,32,1200,0
01-01-2025,194,18,350,0
01-01-2025,200,24,850,0
01-01-2025,109,24,550,0
01-01-2025,210,21,250,0
01-01-2025,131,27,250,0
01-01-2025,249,29,700,0
01-01-2025,237,33,999,1
01-01-2025,285,31,850,1
01-01-2025,249,37,700,1
01-01-2025,174,37,650,1
01-01-2025,294,24,850,0
01-01-2025,183,31,850,1
01-01-2025,166,25,850,0
01-01-2025,282,43,700,1
01-01-2025,175,29,850,0
01-01-2025,116,23,1200,0
01-01-2025,194,23,350,0
01-01-2025,260,20,700,0
01-01-2025,138,19,450,0
01-01-2025,193,23,999,0
01-01-2025,126,32,1200,1
01-01-2025,238,31,1500,0
01-01-2025,196,18,550,0
01-01-2025,167,18,450,0
01-01-2025,146,23,999,0
01-01-2025,213,27,350,0
01-01-2025,234,21,650,0
01-01-2025,289,31,999,0
01-01-2025,188,19,550,0
01-01-2025,133,27,550,0
01-01-2025,267,19,450,0
01-01-2025,226,24,250,1
01-01-2025,241,45,650,1
01-01-2025,120,30,850,0
01-01-2025,163,24,1500,0
01-01-2025,254,37,550,1
01-01-2025,267,30,450,0
01-01-2025,188,29,550,0
01-01-2025,261,24,850,0
01-01-2025,269,27,250,0
01-01-2025,178,36,450,1
01-01-2025,280,50,450,1
01-01-2025,158,27,450,0
01-01-2025,148,36,550,0
01-01-2025,237,43,999,1
01-01-2025,228,28,350,0
01-01-2025,128,30,350,0
01-01-2025,267,27,450,0
01-01-2025,140,40,999,1
01-01-2025,261,27,850,0
01-01-2025,102,28,1500,0
01-01-2025,260,22,700,0
01-01-2025,258,21,1200,0
01-01-2025,257,21,550,0
01-01-2025,233,30,550,1
01-01-2025,195,28,650,1
01-01-2025,242,20,450,0
01-01-2025,156,17,999,0
01-01-2025,257,36,550,1
01-01-2025,212,30,1500,0
01-01-2025,192,21,1500,0
01-01-2025,202,24,550,0
01-01-2025,214,22,450,0
01-01-2025,108,33,650,0
01-01-2025,128,28,350,0
01-01-2025,150,27,999,0
01-01-2025,123,28,450,0
01-01-2025,188,29,550,0
01-01-2025,234,29,650,0
01-01-2025,231,26,550,0
01-01-2025,195,22,650,0
01-01-2025,272,30,999,1
01-01-2025,214,50,450,1
01-01-2025,116,25,1200,0
01-01-2025,253,23,350,0
01-01-2025,215,36,550,1
01-01-2025,227,19,450,0
01-01-2025,214,48,450,1
01-01-2025,211,22,1200,0
01-01-2025,119,24,650,0
01-01-2025,212,18,1500,0
01-01-2025,259,19,650,0
01-01-2025,161,27,700,1
01-01-2025,221,30,850,0
01-01-2025,107,23,550,0
02-01-2025,170,21,250,0
02-01-2025,188,40,550,1
02-01-2025,297,53,1200,1
02-01-2025,143,27,700,0
02-01-2025,156,24,999,0
02-01-2025,182,25,350,0
02-01-2025,299,28,850,0
02-01-2025,271,45,850,1
02-01-2025,107,35,550,1
02-01-2025,147,37,850,1
02-01-2025,265,22,650,0
02-01-2025,112,40,700,1
02-01-2025,272,31,999,1
02-01-2025,157,32,1200,0
02-01-2025,284,21,250,1
02-01-2025,159,25,350,0
02-01-2025,187,31,450,0
02-01-2025,233,21,550,0
02-01-2025,126,35,1200,0
02-01-2025,212,19,1500,0
02-01-2025,202,23,550,0
02-01-2025,257,25,550,0
02-01-2025,300,24,1200,0
02-01-2025,233,19,550,0
02-01-2025,182,36,350,0
02-01-2025,182,34,350,1
02-01-2025,184,10,450,0
02-01-2025,263,38,1200,1
02-01-2025,165,31,250,1
02-01-2025,134,19,999,0
02-01-2025,167,26,450,0
02-01-2025,105,28,650,0
02-01-2025,122,29,450,1
02-01-2025,119,23,650,0
02-01-2025,255,35,850,1
02-01-2025,245,22,550,0
02-01-2025,240,16,350,0
02-01-2025,193,17,999,0
02-01-2025,244,43,550,1
02-01-2025,133,46,550,1
02-01-2025,281,46,999,1
02-01-2025,201,17,850,0
02-01-2025,288,24,350,0
02-01-2025,131,42,250,1
02-01-2025,200,27,850,0
02-01-2025,240,24,350,0
02-01-2025,200,28,850,0
02-01-2025,190,19,350,0
02-01-2025,134,23,999,0
02-01-2025,177,33,650,1
02-01-2025,148,30,550,0
02-01-2025,161,38,700,1
02-01-2025,237,27,999,0
02-01-2025,227,31,450,1
02-01-2025,222,22,1200,0
02-01-2025,173,20,1200,0
02-01-2025,292,49,999,1
02-01-2025,118,25,850,0
02-01-2025,169,21,250,0
02-01-2025,124,17,350,0
02-01-2025,168,25,650,0
02-01-2025,293,23,999,0
02-01-2025,174,33,650,0
02-01-2025,282,30,700,0
02-01-2025,200,20,850,0
02-01-2025,240,29,350,0
02-01-2025,192,36,1500,0
02-01-2025,154,35,1200,1
02-01-2025,253,35,350,1
02-01-2025,294,19,850,0
02-01-2025,153,20,650,0
02-01-2025,256,39,350,1
02-01-2025,153,42,650,1
02-01-2025,244,24,550,0
02-01-2025,258,25,1200,0
02-01-2025,190,23,350,0
02-01-2025,248,17,700,0
02-01-2025,155,25,850,0
02-01-2025,116,15,1200,0
02-01-2025,120,21,850,0
02-01-2025,190,29,350,1
02-01-2025,281,24,999,0
02-01-2025,126,46,1200,1
02-01-2025,192,35,1500,1
02-01-2025,241,23,650,0
02-01-2025,141,22,999,0
02-01-2025,245,33,550,1
02-01-2025,162,29,1200,0
02-01-2025,262,25,550,0
02-01-2025,216,27,1200,0
02-01-2025,210,19,250,0
02-01-2025,136,24,350,0
02-01-2025,193,35,999,1
02-01-2025,272,27,999,0
02-01-2025,104,37,1500,1
02-01-2025,252,26,850,0
02-01-2025,199,47,650,1
02-01-2025,244,32,550,1
02-01-2025,233,24,550,0
02-01-2025,187,27,450,1
02-01-2025,162,36,1200,1
02-01-2025,226,21,250,0
02-01-2025,129,44,700,1
02-01-2025,217,22,650,0
02-01-2025,119,20,650,0
02-01-2025,230,26,999,0
02-01-2025,226,23,250,0
02-01-2025,117,28,250,0
02-01-2025,252,23,850,0
02-01-2025,184,32,450,1
02-01-2025,258,27,1200,0
02-01-2025,109,42,550,1
02-01-2025,136,28,350,0
02-01-2025,199,22,650,0
02-01-2025,138,25,450,1
02-01-2025,166,28,850,0
02-01-2025,233,17,550,0
02-01-2025,129,35,700,1
02-01-2025,236,27,350,0
02-01-2025,121,24,450,0
02-01-2025,136,18,350,0
02-01-2025,218,21,250,0
02-01-2025,259,29,650,0
02-01-2025,135,22,350,0
02-01-2025,160,26,350,0
02-01-2025,286,35,650,0
02-01-2025,298,18,550,0
02-01-2025,217,23,650,0
02-01-2025,190,45,350,1
02-01-2025,170,28,250,1
02-01-2025,223,29,250,0
02-01-2025,219,30,700,1
02-01-2025,159,32,350,1
02-01-2025,105,20,650,0
02-01-2025,131,35,250,0
02-01-2025,292,26,999,0
02-01-2025,184,20,450,0
03-01-2025,197,33,350,0
03-01-2025,194,21,350,0
03-01-2025,257,27,550,1
03-01-2025,113,24,1200,0
03-01-2025,117,26,250,0
03-01-2025,156,31,999,1
03-01-2025,198,19,1200,0
03-01-2025,235,22,850,0
03-01-2025,199,21,650,0
03-01-2025,189,21,650,0
03-01-2025,288,16,350,0
03-01-2025,133,22,550,0
03-01-2025,215,26,550,1
03-01-2025,209,25,450,0
03-01-2025,195,30,650,1
03-01-2025,262,22,550,0
03-01-2025,154,24,1200,0
03-01-2025,291,19,650,0
03-01-2025,167,19,450,0
03-01-2025,210,25,250,0
03-01-2025,205,21,1200,0
03-01-2025,270,30,850,0
03-01-2025,188,18,550,0
03-01-2025,157,22,1200,0
03-01-2025,105,24,650,0
03-01-2025,173,24,1200,0
03-01-2025,266,28,700,1
03-01-2025,102,16,1500,0
03-01-2025,280,25,450,0
03-01-2025,209,30,450,0
03-01-2025,129,25,700,0
03-01-2025,161,30,700,1
03-01-2025,211,40,1200,1
03-01-2025,164,39,250,1
03-01-2025,122,32,450,1
03-01-2025,234,31,650,0
03-01-2025,235,35,850,1
03-01-2025,124,32,350,1
03-01-2025,157,47,1200,1
03-01-2025,149,39,1200,1
03-01-2025,232,25,700,0
03-01-2025,247,26,700,0
03-01-2025,246,20,350,0
03-01-2025,288,19,350,0
03-01-2025,254,23,550,0
03-01-2025,165,27,250,0
03-01-2025,122,23,450,0
03-01-2025,223,26,250,0
03-01-2025,284,27,250,0
03-01-2025,296,28,650,0
03-01-2025,147,30,850,0
03-01-2025,148,30,550,0
03-01-2025,108,26,650,0
03-01-2025,129,30,700,0
03-01-2025,211,25,1200,0
03-01-2025,210,29,250,0
03-01-2025,175,32,850,0
03-01-2025,162,25,1200,0
03-01-2025,266,23,700,0
03-01-2025,193,15,999,0
03-01-2025,262,46,550,1
03-01-2025,293,29,999,0
03-01-2025,164,36,250,0
03-01-2025,141,28,999,0
03-01-2025,291,28,650,0
03-01-2025,227,28,450,0
03-01-2025,159,21,350,0
03-01-2025,225,19,850,0
03-01-2025,204,33,1500,0
03-01-2025,282,23,700,0
03-01-2025,152,27,700,0
03-01-2025,299,46,850,1
03-01-2025,288,18,350,0
03-01-2025,137,22,999,0
03-01-2025,133,40,550,0
03-01-2025,207,32,700,0
03-01-2025,109,20,550,0
03-01-2025,160,25,350,0
03-01-2025,188,23,550,0
03-01-2025,294,26,850,0
03-01-2025,299,24,850,0
03-01-2025,131,44,250,1
03-01-2025,279,22,650,0
03-01-2025,119,27,650,0
03-01-2025,250,36,550,1
03-01-2025,270,24,850,0
03-01-2025,279,22,650,0
03-01-2025,145,21,850,0
03-01-2025,279,41,650,1
03-01-2025,124,25,350,0
03-01-2025,204,34,1500,0
03-01-2025,194,35,350,1
03-01-2025,164,19,250,0
03-01-2025,105,10,650,0
03-01-2025,255,36,850,1
03-01-2025,168,33,650,1
03-01-2025,233,25,550,0
03-01-2025,183,26,850,0
03-01-2025,175,22,850,0
03-01-2025,278,23,450,1
03-01-2025,119,29,650,0
03-01-2025,248,31,700,0
03-01-2025,250,27,550,0
03-01-2025,176,22,1200,0
03-01-2025,153,26,650,0
03-01-2025,102,34,1500,0
03-01-2025,288,20,350,0
03-01-2025,290,18,999,0
03-01-2025,149,36,1200,0
03-01-2025,107,30,550,0
03-01-2025,125,29,650,0
03-01-2025,114,29,350,0
03-01-2025,267,32,450,0
03-01-2025,279,24,650,0
03-01-2025,131,31,250,0
03-01-2025,250,28,550,0
03-01-2025,136,25,350,0
03-01-2025,174,41,650,1
03-01-2025,220,24,350,0
03-01-2025,244,27,550,0
03-01-2025,275,21,700,0
03-01-2025,109,25,550,0
03-01-2025,140,34,999,1
03-01-2025,157,29,1200,0
03-01-2025,163,32,1500,1
03-01-2025,300,50,1200,1
03-01-2025,256,35,350,1
03-01-2025,165,29,250,0
03-01-2025,295,32,450,1
03-01-2025,200,23,850,0
03-01-2025,201,25,850,0
03-01-2025,187,21,450,0
03-01-2025,129,35,700,1
03-01-2025,287,37,250,1
03-01-2025,103,20,700,0
03-01-2025,135,37,350,1
03-01-2025,146,16,999,0
03-01-2025,156,38,999,0
04-01-2025,127,27,999,0
04-01-2025,104,30,1500,0
04-01-2025,236,39,350,0
04-01-2025,294,44,850,1
04-01-2025,125,24,650,1
04-01-2025,160,24,350,0
04-01-2025,202,21,550,0
04-01-2025,286,25,650,0
04-01-2025,239,28,1500,1
04-01-2025,254,17,550,0
04-01-2025,217,39,650,0
04-01-2025,184,16,450,0
