sku_id,product_name,category,list_price,reorder_point
101,Office Chair 1,Furniture,350,82
102,Study Table 2,Lighting,999,55
103,Desk Lamp 3,Electronics,750,89
104,Bookshelf 4,Stationery,350,76
105,Monitor Stand 5,Storage,450,27
106,Keyboard 6,Office Supplies,850,99
107,Mouse 7,Accessories,1200,81
108,Notebook 8,Home Decor,1200,83
109,File Cabinet 9,Furniture,850,30
110,Pen Holder 10,Lighting,1500,56
111,Table Lamp 11,Electronics,850,50
112,Wall Clock 12,Stationery,450,95
113,Whiteboard 13,Storage,1200,72
114,Printer Stand 14,Office Supplies,700,86
115,Office Desk 15,Accessories,850,55
116,Storage Box 16,Home Decor,750,38
117,Laptop Stand 17,Furniture,350,64
118,Desk Organizer 18,Lighting,1800,25
119,Conference Chair 19,Electronics,1800,87
120,Drawer Unit 20,Stationery,550,71
121,Office Chair 21,Storage,450,81
122,Study Table 22,Office Supplies,999,48
123,Desk Lamp 23,Accessories,250,98
124,Bookshelf 24,Home Decor,750,92
125,Monitor Stand 25,Furniture,999,83
126,Keyboard 26,Lighting,1200,35
127,Mouse 27,Electronics,700,57
128,Notebook 28,Stationery,750,23
129,File Cabinet 29,Storage,850,32
130,Pen Holder 30,Office Supplies,1200,75
131,Table Lamp 31,Accessories,1800,80
132,Wall Clock 32,Home Decor,700,98
133,Whiteboard 33,Furniture,700,46
134,Printer Stand 34,Lighting,1800,50
135,Office Desk 35,Electronics,350,58
136,Storage Box 36,Stationery,1500,35
137,Laptop Stand 37,Storage,750,30
138,Desk Organizer 38,Office Supplies,999,58
139,Conference Chair 39,Accessories,600,38
140,Drawer Unit 40,Home Decor,850,74
141,Office Chair 41,Furniture,2200,55
142,Study Table 42,Lighting,450,87
143,Desk Lamp 43,Electronics,900,76
144,Bookshelf 44,Stationery,350,45
145,Monitor Stand 45,Storage,1200,87
146,Keyboard 46,Office Supplies,750,85
147,Mouse 47,Accessories,1500,51
148,Notebook 48,Home Decor,1800,43
149,File Cabinet 49,Furniture,550,75
150,Pen Holder 50,Lighting,900,31
151,Table Lamp 51,Electronics,1500,36
152,Wall Clock 52,Stationery,1500,20
153,Whiteboard 53,Storage,1500,83
154,Printer Stand 54,Office Supplies,1200,73
155,Office Desk 55,Accessories,750,77
156,Storage Box 56,Home Decor,550,83
157,Laptop Stand 57,Furniture,850,57
158,Desk Organizer 58,Lighting,850,66
159,Conference Chair 59,Electronics,250,31
160,Drawer Unit 60,Stationery,550,29
161,Office Chair 61,Storage,750,74
162,Study Table 62,Office Supplies,999,58
163,Desk Lamp 63,Accessories,1500,65
164,Bookshelf 64,Home Decor,350,81
165,Monitor Stand 65,Furniture,900,71
166,Keyboard 66,Lighting,850,64
167,Mouse 67,Electronics,350,65
168,Notebook 68,Stationery,1500,44
169,File Cabinet 69,Storage,900,22
170,Pen Holder 70,Office Supplies,600,55
171,Table Lamp 71,Accessories,2200,37
172,Wall Clock 72,Home Decor,550,53
173,Whiteboard 73,Furniture,2200,89
174,Printer Stand 74,Lighting,250,38
175,Office Desk 75,Electronics,1500,24
176,Storage Box 76,Stationery,1500,42
177,Laptop Stand 77,Storage,1800,43
178,Desk Organizer 78,Office Supplies,750,73
179,Conference Chair 79,Accessories,350,65
180,Drawer Unit 80,Home Decor,850,83
181,Office Chair 81,Furniture,2200,73
182,Study Table 82,Lighting,700,52
183,Desk Lamp 83,Electronics,700,85
184,Bookshelf 84,Stationery,600,33
185,Monitor Stand 85,Storage,600,21
186,Keyboard 86,Office Supplies,350,27
187,Mouse 87,Accessories,1200,78
188,Notebook 88,Home Decor,999,57
189,File Cabinet 89,Furniture,1200,33
190,Pen Holder 90,Lighting,1800,60
191,Table Lamp 91,Electronics,2200,32
192,Wall Clock 92,Stationery,750,76
193,Whiteboard 93,Storage,750,56
194,Printer Stand 94,Office Supplies,450,50
195,Office Desk 95,Accessories,550,44
196,Storage Box 96,Home Decor,999,71
197,Laptop Stand 97,Furniture,900,49
198,Desk Organizer 98,Lighting,2200,27
199,Conference Chair 99,Electronics,600,29
200,Drawer Unit 100,Stationery,600,97
201,Office Chair 101,Storage,700,93
202,Study Table 102,Office Supplies,750,76
203,Desk Lamp 103,Accessories,750,41
204,Bookshelf 104,Home Decor,1200,98
205,Monitor Stand 105,Furniture,550,83
206,Keyboard 106,Lighting,550,78
207,Mouse 107,Electronics,1500,56
208,Notebook 108,Stationery,1200,42
209,File Cabinet 109,Storage,350,27
210,Pen Holder 110,Office Supplies,750,93
211,Table Lamp 111,Accessories,350,56
212,Wall Clock 112,Home Decor,999,36
213,Whiteboard 113,Furniture,1200,44
214,Printer Stand 114,Lighting,1500,66
215,Office Desk 115,Electronics,850,34
216,Storage Box 116,Stationery,750,89
217,Laptop Stand 117,Storage,250,81
218,Desk Organizer 118,Office Supplies,750,78
219,Conference Chair 119,Accessories,999,54
220,Drawer Unit 120,Home Decor,600,70
221,Office Chair 121,Furniture,350,67
222,Study Table 122,Lighting,350,72
223,Desk Lamp 123,Electronics,900,26
224,Bookshelf 124,Stationery,1200,53
225,Monitor Stand 125,Storage,1500,23
226,Keyboard 126,Office Supplies,450,60
227,Mouse 127,Accessories,450,46
228,Notebook 128,Home Decor,999,31
229,File Cabinet 129,Furniture,999,28
230,Pen Holder 130,Lighting,450,67
231,Table Lamp 131,Electronics,1500,33
232,Wall Clock 132,Stationery,600,94
233,Whiteboard 133,Storage,2200,67
234,Printer Stand 134,Office Supplies,750,48
235,Office Desk 135,Accessories,900,67
236,Storage Box 136,Home Decor,600,21
237,Laptop Stand 137,Furniture,450,97
238,Desk Organizer 138,Lighting,700,59
239,Conference Chair 139,Electronics,750,83
240,Drawer Unit 140,Stationery,250,26
241,Office Chair 141,Storage,550,59
242,Study Table 142,Office Supplies,999,59
243,Desk Lamp 143,Accessories,750,95
244,Bookshelf 144,Home Decor,450,66
245,Monitor Stand 145,Furniture,850,58
246,Keyboard 146,Lighting,1500,41
247,Mouse 147,Electronics,2200,46
248,Notebook 148,Stationery,850,62
249,File Cabinet 149,Storage,1500,55
250,Pen Holder 150,Office Supplies,550,21
251,Table Lamp 151,Accessories,700,86
252,Wall Clock 152,Home Decor,250,92
253,Whiteboard 153,Furniture,850,31
254,Printer Stand 154,Lighting,600,64
255,Office Desk 155,Electronics,600,28
256,Storage Box 156,Stationery,999,74
257,Laptop Stand 157,Storage,350,42
258,Desk Organizer 158,Office Supplies,550,73
259,Conference Chair 159,Accessories,1200,78
260,Drawer Unit 160,Home Decor,2200,82
261,Office Chair 161,Furniture,600,28
262,Study Table 162,Lighting,900,94
263,Desk Lamp 163,Electronics,2200,38
264,Bookshelf 164,Stationery,550,23
265,Monitor Stand 165,Storage,350,64
266,Keyboard 166,Office Supplies,850,50
267,Mouse 167,Accessories,600,87
268,Notebook 168,Home Decor,750,85
269,File Cabinet 169,Furniture,2200,45
