sku_id,Current_Inventory,Average_Daily_Demand,Average_Unit_Price,Days_of_Supply,Stockout_Risk_Score,Overstock_Risk_Score,Risk_Level,Primary_Risk,Recommended_Action,Sales_at_Risk,Capital_Locked
101,232.0,35.36935704514364,250.0,6.559350222394121,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,46422.28,58000.0
102,135.0,30.147742818057456,1500.0,4.47794718213994,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,237413.47,202500.0
103,172.0,31.129958960328317,700.0,5.525224116716471,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,114402.6,120400.0
104,120.0,32.75102599179207,1500.0,3.6640073514055382,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,257914.33,180000.0
105,205.0,29.120383036935703,650.0,7.039742565885282,0.4,0.75,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,52999.1,133250.0
106,20.0,34.6703146374829,1200.0,0.5768623737373737,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,291230.64,24000.0
107,236.0,27.98495212038304,550.0,8.43310358312558,0.4,1.0,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,43096.83,129800.0
108,198.0,31.15731874145007,650.0,6.354847207586934,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,106324.35,128700.0
109,108.0,37.70861833105335,550.0,2.8640667513150735,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,145178.18,59400.0
110,151.0,31.01641586867305,700.0,4.868389714638557,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,113985.33,105700.0
111,81.0,32.10670314637483,450.0,2.522837665104389,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,101136.11,36450.0
112,95.0,35.41997264021888,700.0,2.682102579947474,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,173557.87,66500.0
113,190.0,32.794801641586865,1200.0,5.793601134609769,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,206607.25,228000.0
114,135.0,35.207934336525305,350.0,3.8343629793682252,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,64694.58,47250.0
115,103.0,35.62927496580027,999.0,2.890881167210597,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,249155.52,102897.0
116,107.0,35.470588235294116,1200.0,3.0165837479270317,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,223464.71,128400.0
117,221.0,33.22982216142271,250.0,6.65065250504302,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,43614.14,55250.0
118,243.0,38.11217510259918,850.0,6.375915290739411,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,170075.58,206550.0
119,238.0,38.738714090287274,650.0,6.143724839324811,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,132195.86,154700.0
120,159.0,30.108071135430915,850.0,5.280975964378209,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,134357.27,135150.0
121,236.0,36.1313269493844,450.0,6.531728002423142,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,85360.26,106200.0
122,73.0,35.844049247606016,450.0,2.036600259522174,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,112908.76,32850.0
123,16.0,32.808481532147745,450.0,0.4876787724638285,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,103346.72,7200.0
124,242.0,34.69904240766074,350.0,6.9742558643800505,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,63759.49,84700.0
125,27.0,32.53351573187415,650.0,0.8299133798671263,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,148027.5,17550.0
126,158.0,35.68673050615595,1200.0,4.427415954306743,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,224826.4,189600.0
127,212.0,33.909712722298224,999.0,6.251896078747781,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,177847.97,211788.0
128,40.0,37.188782489740085,350.0,1.0755931579915394,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,91112.52,14000.0
129,45.0,31.39124487004104,700.0,1.4335207216629626,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,153817.1,31500.0
130,52.0,29.980848153214776,250.0,1.7344405913487861,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,52466.48,13000.0
131,157.0,29.29548563611491,250.0,5.359187485407425,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,38450.32,39250.0
132,180.0,29.53488372093023,850.0,6.094488188976378,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,131799.42,153000.0
133,46.0,31.34746922024624,550.0,1.4674230853152956,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,120687.76,25300.0
134,19.0,34.142270861833104,999.0,0.5564949114512381,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,238756.9,18981.0
135,213.0,30.24623803009576,350.0,7.042198100407055,0.4,0.75,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,29641.31,74550.0
136,139.0,36.84268125854993,350.0,3.7727981583246697,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,67698.43,48650.0
137,156.0,30.29138166894665,999.0,5.149979677550467,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,158870.72,155844.0
138,144.0,31.786593707250343,450.0,4.530211740402823,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,75095.83,64800.0
139,187.0,31.366621067031463,250.0,5.96175149374155,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,41168.69,46750.0
140,131.0,37.44049247606019,999.0,3.498885600496912,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,196366.02,130869.0
141,83.0,33.39671682626539,999.0,2.485274239134887,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,233543.24,82917.0
142,34.0,29.05061559507524,1500.0,1.1703710679977397,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,305031.46,51000.0
143,55.0,34.4500683994528,700.0,1.596513521026089,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,168805.34,38500.0
144,188.0,29.057455540355676,650.0,6.469940209971282,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,99158.57,122200.0
145,103.0,36.15184678522572,850.0,2.849093729897453,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,215103.49,87550.0
146,17.0,31.974008207934336,999.0,0.53168185513199,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,223594.24,16983.0
147,63.0,29.930232558139537,850.0,2.1048951048951046,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,178084.88,53550.0
148,44.0,37.294117647058826,550.0,1.1798107255520505,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,143582.35,24200.0
149,78.0,37.12722298221614,1200.0,2.1008843036109064,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,311868.67,93600.0
150,117.0,34.20246238030096,999.0,3.4208063354931606,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,179383.36,116883.0
151,107.0,33.99589603283174,1200.0,3.1474387348597643,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,214174.15,128400.0
152,192.0,32.6593707250342,700.0,5.878864036189998,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,120023.19,134400.0
153,163.0,31.18467852257182,650.0,5.226925776452009,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,106417.72,105950.0
154,35.0,31.03967168262654,1200.0,1.127589246364037,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,260733.24,42000.0
155,39.0,29.365253077975375,850.0,1.3281002515606075,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,174723.26,33150.0
156,130.0,35.87551299589603,999.0,3.6236415633937087,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,188158.1,129870.0
157,95.0,34.79616963064296,1200.0,2.730185563767888,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,292287.82,114000.0
158,73.0,37.604651162790695,450.0,1.9412492269635129,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,118454.65,32850.0
159,49.0,37.37756497948016,350.0,1.3109468213592945,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,91575.03,17150.0
160,150.0,31.712722298221614,350.0,4.729962902251747,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,58272.13,52500.0
161,124.0,33.381668946648425,700.0,3.71461355626588,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,122677.63,86800.0
162,51.0,35.224350205198355,1200.0,1.4478620528952582,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,295884.54,61200.0
163,130.0,31.098495212038305,1500.0,4.1802665728236486,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,244900.65,195000.0
164,231.0,36.2093023255814,250.0,6.379576107899807,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,47524.71,57750.0
165,96.0,37.890560875512996,250.0,2.5336125352010974,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,66308.48,24000.0
166,81.0,30.89876880984952,850.0,2.621463673794661,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,183847.67,68850.0
167,249.0,30.057455540355676,450.0,8.284134352812671,0.4,1.0,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,37872.39,112050.0
168,51.0,29.917920656634745,650.0,1.7046639231824419,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,136126.54,33150.0
169,223.0,32.982216142270865,250.0,6.761219411032766,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,43289.16,55750.0
170,26.0,36.98358413132695,250.0,0.7030146106898465,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,64721.27,6500.0
171,125.0,30.43638850889193,700.0,4.106926153984449,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,111853.73,87500.0
172,149.0,30.259917920656633,850.0,4.924005424954792,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,135034.88,126650.0
173,154.0,34.49521203830369,1200.0,4.464387690355331,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,217319.84,184800.0
174,87.0,33.71682626538988,650.0,2.580314034162373,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,153411.56,56550.0
175,243.0,34.86320109439124,850.0,6.9701000588581525,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,155577.03,206550.0
176,28.0,32.46238030095759,1200.0,0.8625368731563422,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,272683.99,33600.0
177,165.0,31.270861833105336,650.0,5.276477536200184,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,106711.82,107250.0
178,248.0,32.834473324213405,450.0,7.553037246896092,0.4,0.75,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,41371.44,111600.0
179,191.0,35.362517099863204,1200.0,5.401199226305609,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,222783.86,229200.0
180,222.0,36.35978112175103,250.0,6.10564731554987,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,47722.21,55500.0
181,74.0,30.367989056087552,450.0,2.4367764313707823,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,95659.17,33300.0
182,164.0,32.60875512995896,350.0,5.029324159919454,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,59918.59,57400.0
183,239.0,32.57318741450069,850.0,7.337323085968669,0.4,0.75,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,77524.19,203150.0
184,101.0,36.601915184678525,450.0,2.759418448198535,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,115296.03,45450.0
185,182.0,35.841313269493845,550.0,5.07793893129771,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,103491.79,100100.0
186,135.0,29.484268125854992,850.0,4.578712940193941,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,131573.55,114750.0
187,75.0,35.484268125854996,450.0,2.113612706735032,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,111775.44,33750.0
188,209.0,32.52393980848153,550.0,6.4260357518401685,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,93912.88,114950.0
189,158.0,37.36388508891929,650.0,4.228682312451946,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,127504.26,102700.0
190,161.0,35.08207934336525,350.0,4.589237668161435,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,64463.32,56350.0
191,166.0,33.33789329685362,1500.0,4.979318834632745,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,262535.91,249000.0
192,151.0,28.112175102599178,1500.0,5.371338199513382,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,221383.38,226500.0
193,149.0,32.26949384404925,999.0,4.617364025605155,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,169245.43,148851.0
194,243.0,35.621067031463745,350.0,6.821805752909098,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,65453.71,85050.0
195,125.0,33.172366621067034,650.0,3.768196626665017,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,113200.7,81250.0
196,232.0,34.49247606019152,550.0,6.726104545093995,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,99597.02,127600.0
197,232.0,34.55677154582764,350.0,6.71359011915601,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,63498.07,81200.0
198,201.0,36.20383036935704,1200.0,5.5518987341772155,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,228084.13,241200.0
199,224.0,32.68809849521204,650.0,6.8526469972797655,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,111548.14,145600.0
200,227.0,33.808481532147745,850.0,6.71429149469936,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,150870.35,192950.0
201,203.0,37.70451436388509,850.0,5.383970684275452,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,168256.4,172550.0
202,117.0,36.0218878248974,550.0,3.2480252164666568,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,104013.2,64350.0
203,237.0,30.161422708618332,550.0,7.857719521044992,0.4,0.75,HIGH,OVERSTOCK,REDUCE INVENTORY / PROMOTE,46448.59,130350.0
204,132.0,40.25991792065663,1500.0,3.2786952089704386,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,317046.85,198000.0
205,56.0,33.01231190150479,1200.0,1.6963368141886292,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,277303.42,67200.0
206,197.0,35.70861833105335,700.0,5.516875454928552,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,131229.17,137900.0
207,64.0,33.761969904240765,700.0,1.8956239870340357,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,165433.65,44800.0
208,162.0,29.701778385772915,250.0,5.454218865143699,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,38983.58,40500.0
209,245.0,38.78112175102599,450.0,6.317506790362976,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,91620.4,110250.0
210,40.0,31.180574555403556,250.0,1.2828499978063441,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,54566.01,10000.0
211,178.0,35.91518467852257,1200.0,4.956120972042355,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,226265.66,213600.0
212,27.0,31.577291381668946,1500.0,0.8550448381926093,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,331561.56,40500.0
213,196.0,36.81258549931601,350.0,5.324266072092159,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,67643.13,68600.0
214,105.0,38.735978112175104,450.0,2.7106582850685124,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,122018.33,47250.0
215,189.0,30.160054719562243,550.0,6.266566879847598,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,87087.16,103950.0
216,74.0,32.857729138166896,1200.0,2.2521337274657562,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,276004.92,88800.0
217,147.0,37.32421340629275,650.0,3.9384621023310364,0.75,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,127368.88,95550.0
218,188.0,29.633378932968537,250.0,6.344197211707137,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,38893.81,47000.0
219,169.0,37.309165526675784,700.0,4.529718036152972,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,137111.18,118300.0
220,195.0,29.471956224350205,350.0,6.616459339027108,0.75,0.75,HIGH,BALANCED,NORMAL MONITORING,54154.72,68250.0
221,182.0,34.0,850.0,5.352941176470588,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,151725.0,154700.0
222,161.0,32.58413132694938,1200.0,4.941055459926949,0.75,0.4,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,205280.03,193200.0
223,74.0,39.77975376196991,250.0,1.8602427868908833,1.0,0.1,HIGH,STOCKOUT,URGENTLY REPLENISH STOCK,69614.57,18500.0
