Feature,Feature
lag_7,0.312
rolling_mean_7,0.241
inventory_gap,0.166
month,0.093
promotion,0.081
lag_1,0.079
lag_14,0.076
rolling_mean_30,0.074
rolling_std_7,0.071
unit_price,0.069
list_price,0.067
reorder_point,0.065
on_hand_units,0.063
on_order_units,0.061
discount_percentage,0.059
price_difference,0.057
day,0.055
week,0.053
quarter,0.051
year,0.049
is_weekend,0.047
is_holiday,0.045
day_of_week,0.043
category_Furniture,0.041
category_Electronics,0.039
category_Lighting,0.038
category_Accessories,0.037
sales_last_week,0.036
sales_last_month,0.035
avg_sales_7,0.034
avg_sales_30,0.033
std_sales_7,0.032
std_sales_30,0.031
max_sales_30,0.03
min_sales_30,0.029
inventory_turnover,0.028
stock_ratio,0.027
demand_growth,0.026
sales_growth,0.025
promo_count,0.024
holiday_effect,0.023
weekend_sales,0.022
avg_discount,0.021
price_index,0.02
sku_frequency,0.019
category_rank,0.018
monthly_avg_sales,0.017
weekly_avg_sales,0.016
quarterly_sales,0.015
yearly_sales,0.014
avg_inventory,0.013
inventory_days,0.012
reorder_gap,0.011
stock_cover_days,0.01
lead_time,0.0098
supplier_delay,0.0095
replenishment_cycle,0.0092
forecast_error,0.0089
forecast_bias,0.0086
demand_variance,0.0083
demand_std,0.008
moving_average_14,0.0077
moving_average_60,0.0074
rolling_max_7,0.0071
rolling_min_7,0.0068
rolling_max_30,0.0065
rolling_min_30,0.0062
cumulative_sales,0.0059
cumulative_inventory,0.0056
sales_to_stock_ratio,0.0053
inventory_utilization,0.005
demand_score,0.0047
inventory_score,0.0044
risk_score,0.0041
stockout_probability,0.0038
overstock_probability,0.0035
supplier_rating,0.0032
warehouse_capacity,0.0029
customer_rating,0.0026
